Triplet_ID,Gene_Ensembl_ID,Gene_Symbol,miRNA_Name,DMR_Index,Target_log2FC,Target_Direction,Target_padj,miRNA_log2FC,miRNA_Direction,miRNA_padj,Methylation_Direction,Methylation_Value,DMR_pvalue,DMR_qvalue
LHX8_hsa-miR-5699-5p_18962,ENSG00000162624,LHX8,hsa-miR-5699-5p,18962,29.91083438,Up-regulated,2.79e-10,1.290425782,Up-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-5699-5p_18963,ENSG00000162624,LHX8,hsa-miR-5699-5p,18963,29.91083438,Up-regulated,2.79e-10,1.290425782,Up-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-5699-5p_18964,ENSG00000162624,LHX8,hsa-miR-5699-5p,18964,29.91083438,Up-regulated,2.79e-10,1.290425782,Up-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-576-5p_18962,ENSG00000162624,LHX8,hsa-miR-576-5p,18962,29.91083438,Up-regulated,2.79e-10,-0.467290092,Down-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-576-5p_18963,ENSG00000162624,LHX8,hsa-miR-576-5p,18963,29.91083438,Up-regulated,2.79e-10,-0.467290092,Down-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-576-5p_18964,ENSG00000162624,LHX8,hsa-miR-576-5p,18964,29.91083438,Up-regulated,2.79e-10,-0.467290092,Down-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_novel_517_18962,ENSG00000162624,LHX8,novel_517,18962,29.91083438,Up-regulated,2.79e-10,9.2273688,Up-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_novel_517_18963,ENSG00000162624,LHX8,novel_517,18963,29.91083438,Up-regulated,2.79e-10,9.2273688,Up-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_novel_517_18964,ENSG00000162624,LHX8,novel_517,18964,29.91083438,Up-regulated,2.79e-10,9.2273688,Up-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-134-3p_18962,ENSG00000162624,LHX8,hsa-miR-134-3p,18962,29.91083438,Up-regulated,2.79e-10,0.954166603,Up-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
